id,name,colour
705,Slovenia,#5657B7
706,Somalia,#DAEA01
710,South Africa,#BA5853
716,Zimbabwe,#CD7721
724,Spain,#854FBF
728,South Sudan,#B3412A
729,Sudan,#928FAE
732,Western Sahara,#5ECADE
740,Suriname,#4F6A3A
744,Svalbard and Jan Mayen,#502618
748,Swaziland,#642780
752,Sweden,#C75E74
756,Switzerland,#036CA9
760,Syrian Arab Republic,#FFA17E
762,Tajikistan,#36F16A
764,Thailand,#0829BD
768,Togo,#A1C224
772,Tokelau,#AA5485
776,Tonga,#E5515A
780,Trinidad and Tobago,#DA3E1B
784,United Arab Emirates,#E57E66
788,Tunisia,#EA3E4D
792,Turkey,#42FBE7
795,Turkmenistan,#ECBCD2
796,Turks and Caicos Islands,#EEFB5F
798,Tuvalu,#D53AA4
800,Uganda,#B5947E
804,Ukraine,#9AA9C3
807,"Macedonia, the former Yugoslav Republic of",#A26BA6
818,Egypt,#F32409
826,United Kingdom,#C04C2E
831,Guernsey,#72EB1C
832,Jersey,#DEB8BA
833,Isle of Man,#9D75CF
834,"Tanzania, United Republic of",#AD595E
840,United States,#3002F9
850,"Virgin Islands, U.S.",#567987
854,Burkina Faso,#106F44
858,Uruguay,#40F6F9
860,Uzbekistan,#925BFE
862,"Venezuela, Bolivarian Republic of",#E4556F
876,Wallis and Futuna,#8CC455
882,Samoa,#40CCE0
887,Yemen,#59526E
894,Zambia,#37D7FA
